sensor0_NOSENSORATTACHED,LowerLeft,UpperLeft,UpperRight,LeftButt,RightButt,Config_1_B0,Config_2_B1,Config_3_B2,Butt_Inflate_B3,Buff_Deflate_B4,Upper_Inflate_B5,Upper_Deflate_B6,Lower_Inflate_B7,Lower_Deflate_B8
100.5026,101.4463,100.4993,100.5147,100.5745,100.6014,0,0,0,0,0,0,0,0,0
100.5119,101.5391,100.5449,100.5049,100.5767,100.6126,0,0,0,0,0,0,0,0,0
100.5116,101.2870,100.4832,100.5971,100.6233,100.4917,0,0,0,0,0,0,0,0,0
100.5069,101.2965,100.4812,100.5603,100.6146,100.6101,0,0,0,0,0,0,0,0,0
100.5089,101.4432,100.5485,100.5347,100.4933,100.6413,0,0,0,0,0,0,0,0,0
100.5094,101.4754,100.5643,100.5270,100.6115,100.6583,0,0,0,0,0,0,0,0,0
100.5136,101.4740,100.5916,100.5420,100.5885,100.6240,0,0,0,0,0,0,0,0,0
100.4972,101.4806,100.5861,100.5423,102.7214,105.5015,0,0,0,1,0,0,0,0,0
100.5030,101.4717,100.6749,100.5271,104.5087,107.7517,0,0,0,1,0,0,0,0,0
100.5110,101.4535,100.6506,100.5149,104.8040,109.2734,0,0,0,1,0,0,0,0,0
100.5186,100.8911,100.5820,100.4860,103.7204,107.3999,0,0,0,1,0,0,0,0,0
100.5187,101.4240,100.6267,100.5341,103.6625,107.2455,0,0,0,0,0,0,0,0,0
100.5049,100.5634,100.6187,100.5222,103.5702,107.1268,0,0,0,0,0,0,0,0,1
100.5108,100.5356,100.6027,100.5256,103.5454,107.0637,0,0,0,0,0,0,0,0,1
100.5073,100.6422,100.5958,100.5332,103.5089,107.0028,0,0,0,0,0,0,0,0,1
100.5155,107.3608,100.5641,100.5351,103.4841,106.8955,0,0,0,0,0,0,0,1,0
100.5121,108.1386,100.5355,100.5152,103.4572,106.8283,0,0,0,0,0,0,0,1,0
100.5156,108.4042,100.5260,100.4962,103.3739,106.7097,0,0,0,0,0,0,0,1,0
100.5126,108.0021,100.5164,100.4941,103.3207,106.6158,0,0,0,0,0,0,0,1,0
100.5219,106.3518,105.1910,103.2653,103.3015,106.5786,0,0,0,0,0,0,0,0,0
100.5088,106.1391,107.9821,105.5818,103.2088,106.4365,0,0,0,0,0,1,0,0,0
100.5153,105.9499,108.8942,106.7189,103.1350,106.3190,0,0,0,0,0,1,0,0,0
100.5172,105.8651,107.3015,105.7382,103.0905,106.2586,0,0,0,0,0,1,0,0,0
100.4599,105.3898,107.1690,105.3517,101.4989,102.5462,0,0,0,0,1,0,0,0,0
100.5042,105.8716,107.1385,105.5306,102.1953,104.2636,0,0,0,0,1,0,0,0,0
100.5207,105.9325,103.2921,103.0752,102.2550,104.3578,0,0,0,0,0,0,1,0,0
100.5113,105.9818,102.2697,102.2144,102.3367,104.4316,0,0,0,0,0,0,1,0,0
100.5076,105.9883,103.2490,102.7746,102.3378,104.4430,0,0,0,0,0,0,1,0,0
100.5153,105.9678,103.3604,102.8219,102.3462,104.4305,0,0,0,0,0,0,0,0,0
100.5126,105.8764,103.3943,102.8676,102.4009,104.4231,0,0,0,0,0,0,0,0,0
